Date,gold
1789-01-01,4.23
1790-01-01,4.23
1791-01-01,4.23
1792-01-01,18.9081
1793-01-01,19.0773
1794-01-01,20.0925
1795-01-01,19.1619
1796-01-01,18.1467
1797-01-01,18.7812
1798-01-01,18.6575
1799-01-01,17.5112
1800-01-01,19.383
1801-01-01,18.7902
1802-01-01,19.3519
1803-01-01,19.7036
1804-01-01,19.838
1805-01-01,18.966
1806-01-01,19.5806
1807-01-01,19.7574
1808-01-01,20.9276
1809-01-01,20.9306
1810-01-01,19.909
1811-01-01,19.8258
1812-01-01,19.8376
1813-01-01,21.6
1814-01-01,22.0904
1815-01-01,24.451
1816-01-01,22.7592
1817-01-01,19.918
1818-01-01,19.98
1819-01-01,19.6636
1820-01-01,19.21
1821-01-01,20.485
1822-01-01,21.1152
1823-01-01,20.304
1824-01-01,20.6001
1825-01-01,20.4792
1826-01-01,20.8116
1827-01-01,20.8962
1828-01-01,20.8539
1829-01-01,20.6064
1830-01-01,20.1824
1831-01-01,20.655
1832-01-01,20.6064
1833-01-01,20.3096
1834-01-01,19.6736
1835-01-01,20.564
1836-01-01,20.4368
1837-01-01,21.624
1838-01-01,20.7336
1839-01-01,21.165
1840-01-01,21.2
1841-01-01,21.1576
1842-01-01,20.352
1843-01-01,20.3096
1844-01-01,20.6064
1845-01-01,20.6488
1846-01-01,20.4368
1847-01-01,20.3096
1848-01-01,20.6488
1849-01-01,20.3944
1850-01-01,20.6488
1851-01-01,20.8184
1852-01-01,20.776
1853-01-01,20.7336
1854-01-01,20.6912
1855-01-01,20.7336
1856-01-01,20.8184
1857-01-01,20.7336
1858-01-01,20.6064
1859-01-01,20.776
1860-01-01,20.564
1861-01-01,20.2248
1862-01-01,23.5744
1863-01-01,29.9768
1864-01-01,42.2728
1865-01-01,32.6056
1866-01-01,29.1712
1867-01-01,28.62
1868-01-01,28.9592
1869-01-01,27.4752
1870-01-01,23.7016
1871-01-01,23.1504
1872-01-01,23.0656
1873-01-01,23.532
1874-01-01,22.9808
1875-01-01,23.7016
1876-01-01,22.9808
1877-01-01,21.5392
1878-01-01,20.7336
1879-01-01,20.564
1880-01-01,20.564
1881-01-01,20.4792
1882-01-01,20.6488
1883-01-01,20.564
1884-01-01,20.564
1885-01-01,20.6064
1886-01-01,20.6064
1887-01-01,20.564
1888-01-01,20.6488
1889-01-01,20.6488
1890-01-01,20.6064
1891-01-01,20.655
1892-01-01,20.6975
1893-01-01,20.655
1894-01-01,20.6912
1895-01-01,20.7336
1896-01-01,20.6975
1897-01-01,20.655
1898-01-01,20.6125
1899-01-01,20.6064
1900-01-01,20.655
1901-01-01,20.6975
1902-01-01,20.6488
1903-01-01,20.655
1904-01-01,20.6975
1905-01-01,20.6064
1906-01-01,20.6125
1907-01-01,20.655
1908-01-01,20.6975
1909-01-01,20.6488
1910-01-01,20.6064
1911-01-01,20.6064
1912-01-01,20.6488
1913-01-01,20.6488
1914-01-01,20.9032
1915-01-01,20.1824
1916-01-01,20.2248
1917-01-01,20.1824
1918-01-01,20.1824
1919-01-01,19.935
1920-01-01,20.679
1921-01-01,20.5975
1922-01-01,20.6881
1923-01-01,20.6558
1924-01-01,20.7298
1925-01-01,20.6241
1926-01-01,20.655
1927-01-01,20.655
1928-01-01,20.6975
1929-01-01,20.655
1930-01-01,20.655
1931-01-01,21.0202
1932-01-01,20.709
1933-01-01,26.4576
1934-01-01,34.6752
1935-01-01,34.839
1936-01-01,34.8397
1937-01-01,34.7776
1938-01-01,34.8657
1939-01-01,34.2768
1940-01-01,32.172
1941-01-01,33.852
1942-01-01,33.936
1943-01-01,33.936
1944-01-01,33.936
1945-01-01,33.852
1946-01-01,33.852
1947-01-01,33.852
1948-01-01,33.852
1949-01-01,30.996
1950-01-01,34.71
1951-01-01,34.71
1952-01-01,34.71
1953-01-01,34.71
1954-01-01,34.96
1955-01-01,35.01
1956-01-01,35
1957-01-01,34.95
1958-01-01,35.1
1959-01-01,35.09
1960-01-01,35.27
1960-02-01,35.27
1960-03-01,35.27
1960-04-01,35.27
1960-05-01,35.27
1960-06-01,35.27
1960-07-01,35.27
1960-08-01,35.27
1960-09-01,35.27
1960-10-01,35.27
1960-11-01,35.27
1960-12-01,35.27
1961-01-01,35.25
1961-02-01,35.25
1961-03-01,35.25
1961-04-01,35.25
1961-05-01,35.25
1961-06-01,35.25
1961-07-01,35.25
1961-08-01,35.25
1961-09-01,35.25
1961-10-01,35.25
1961-11-01,35.25
1961-12-01,35.25
1962-01-01,35.23
1962-02-01,35.23
1962-03-01,35.23
1962-04-01,35.23
1962-05-01,35.23
1962-06-01,35.23
1962-07-01,35.23
1962-08-01,35.23
1962-09-01,35.23
1962-10-01,35.23
1962-11-01,35.23
1962-12-01,35.23
1963-01-01,35.09
1963-02-01,35.09
1963-03-01,35.09
1963-04-01,35.09
1963-05-01,35.09
1963-06-01,35.09
1963-07-01,35.09
1963-08-01,35.09
1963-09-01,35.09
1963-10-01,35.09
1963-11-01,35.09
1963-12-01,35.09
1964-01-01,35.1
1964-02-01,35.1
1964-03-01,35.1
1964-04-01,35.1
1964-05-01,35.1
1964-06-01,35.1
1964-07-01,35.1
1964-08-01,35.1
1964-09-01,35.1
1964-10-01,35.1
1964-11-01,35.1
1964-12-01,35.1
1965-01-01,35.12
1965-02-01,35.12
1965-03-01,35.12
1965-04-01,35.12
1965-05-01,35.12
1965-06-01,35.12
1965-07-01,35.12
1965-08-01,35.12
1965-09-01,35.12
1965-10-01,35.12
1965-11-01,35.12
1965-12-01,35.12
1966-01-01,35.13
1966-02-01,35.13
1966-03-01,35.13
1966-04-01,35.13
1966-05-01,35.13
1966-06-01,35.13
1966-07-01,35.13
1966-08-01,35.13
1966-09-01,35.13
1966-10-01,35.13
1966-11-01,35.13
1966-12-01,35.13
1967-01-01,34.95
1967-02-01,34.95
1967-03-01,34.95
1967-04-01,34.95
1967-05-01,34.95
1967-06-01,34.95
1967-07-01,34.95
1967-08-01,34.95
1967-09-01,34.95
1967-10-01,34.95
1967-11-01,34.95
1967-12-01,34.95
1968-01-01,35.5
1968-02-01,36
1968-03-01,37
1968-04-01,37.86
1968-05-01,40.7
1968-06-01,41.14
1968-07-01,39.46
1968-08-01,39.19
1968-09-01,40.18
1968-10-01,39.21
1968-11-01,39.78
1968-12-01,41.08
1969-01-01,42.3
1969-02-01,42.6
1969-03-01,43.16
1969-04-01,43.31
1969-05-01,43.46
1969-06-01,41.44
1969-07-01,41.76
1969-08-01,41.09
1969-09-01,40.87
1969-10-01,40.44
1969-11-01,37.4
1969-12-01,35.17
1970-01-01,34.94
1970-02-01,34.99
1970-03-01,35.09
1970-04-01,35.62
1970-05-01,35.95
1970-06-01,35.42
1970-07-01,35.32
1970-08-01,35.38
1970-09-01,36.19
1970-10-01,37.52
1970-11-01,37.44
1970-12-01,37.44
1971-01-01,37.88
1971-02-01,38.74
1971-03-01,38.87
1971-04-01,39.01
1971-05-01,40.52
1971-06-01,40.1
1971-07-01,40.95
1971-08-01,42.71
1971-09-01,42.03
1971-10-01,42.5
1971-11-01,42.86
1971-12-01,43.48
1972-01-01,45.75
1972-02-01,48.26
1972-03-01,48.33
1972-04-01,49.03
1972-05-01,54.62
1972-06-01,62.09
1972-07-01,65.66
1972-08-01,67.03
1972-09-01,65.46
1972-10-01,64.86
1972-11-01,62.91
1972-12-01,63.91
1973-01-01,65.14
1973-02-01,74.2
1973-03-01,84.37
1973-04-01,90.5
1973-05-01,101.96
1973-06-01,120.12
1973-07-01,120.17
1973-08-01,106.76
1973-09-01,102.97
1973-10-01,100.08
1973-11-01,94.92
1973-12-01,106.72
1974-01-01,129.19
1974-02-01,150.13
1974-03-01,168.42
1974-04-01,172.24
1974-05-01,163.27
1974-06-01,154.1
1974-07-01,142.98
1974-08-01,154.64
1974-09-01,151.75
1974-10-01,158.78
1974-11-01,181.66
1974-12-01,183.78
1975-01-01,176.27
1975-02-01,179.6
1975-03-01,178.16
1975-04-01,169.84
1975-05-01,167.39
1975-06-01,164.24
1975-07-01,165.17
1975-08-01,163
1975-09-01,144.17
1975-10-01,142.79
1975-11-01,142.42
1975-12-01,139.3
1976-01-01,131.05
1976-02-01,131.06
1976-03-01,132.76
1976-04-01,127.94
1976-05-01,126.92
1976-06-01,125.71
1976-07-01,117.73
1976-08-01,109.93
1976-09-01,114.15
1976-10-01,116.15
1976-11-01,130.46
1976-12-01,133.93
1977-01-01,132.26
1977-02-01,136.24
1977-03-01,148.23
1977-04-01,149.17
1977-05-01,146.61
1977-06-01,140.78
1977-07-01,143.39
1977-08-01,144.94
1977-09-01,149.53
1977-10-01,158.95
1977-11-01,162.1
1977-12-01,160.45
1978-01-01,173.18
1978-02-01,178.14
1978-03-01,183.61
1978-04-01,175.28
1978-05-01,176.31
1978-06-01,183.75
1978-07-01,188.73
1978-08-01,206.3
1978-09-01,212.08
1978-10-01,227.44
1978-11-01,206.2
1978-12-01,207.85
1979-01-01,227.28
1979-02-01,245.67
1979-03-01,242.05
1979-04-01,239.11
1979-05-01,257.59
1979-06-01,279.07
1979-07-01,294.74
1979-08-01,300.82
1979-09-01,354.95
1979-10-01,391.66
1979-11-01,391.99
1979-12-01,455.08
1980-01-01,675.31
1980-02-01,665.32
1980-03-01,553.58
1980-04-01,517.41
1980-05-01,513.8
1980-06-01,600.72
1980-07-01,643.27
1980-08-01,627.15
1980-09-01,673.63
1980-10-01,661.15
1980-11-01,624.77
1980-12-01,538.26
1981-01-01,557.39
1981-02-01,499.76
1981-03-01,499.11
1981-04-01,495.8
1981-05-01,479.7
1981-06-01,461.09
1981-07-01,409.07
1981-08-01,410.16
1981-09-01,443.75
1981-10-01,437.76
1981-11-01,413.37
1981-12-01,410.09
1982-01-01,384.14
1982-02-01,374.13
1982-03-01,330.25
1982-04-01,350.3
1982-05-01,333.71
1982-06-01,314.98
1982-07-01,338.97
1982-08-01,364.23
1982-09-01,437.31
1982-10-01,422.15
1982-11-01,414.89
1982-12-01,444.5
1983-01-01,481.29
1983-02-01,491.09
1983-03-01,419.7
1983-04-01,432.88
1983-05-01,438.01
1983-06-01,412.84
1983-07-01,402.91
1983-08-01,416.2
1983-09-01,411.8
1983-10-01,393.6
1983-11-01,381.7
1983-12-01,388.34
1984-01-01,370.89
1984-02-01,385.96
1984-03-01,394.26
1984-04-01,381.37
1984-05-01,377.4
1984-06-01,377.7
1984-07-01,347.71
1984-08-01,347.7
1984-09-01,340.2
1984-10-01,341
1984-11-01,342
1984-12-01,319.54
1985-01-01,302.79
1985-02-01,299.1
1985-03-01,313.5
1985-04-01,326.8
1985-05-01,316
1985-06-01,316.5
1985-07-01,317.2
1985-08-01,330.4
1985-09-01,323.35
1985-10-01,325.85
1985-11-01,321.5
1985-12-01,321.9
1986-01-01,347.48
1986-02-01,338.89
1986-03-01,345.7
1986-04-01,340.44
1986-05-01,342.4
1986-06-01,342.7
1986-07-01,348.34
1986-08-01,376.66
1986-09-01,417.73
1986-10-01,423.51
1986-11-01,397.56
1986-12-01,390.92
1987-01-01,408.26
1987-02-01,401.12
1987-03-01,408.91
1987-04-01,438.35
1987-05-01,460.23
1987-06-01,449.59
1987-07-01,450.52
1987-08-01,461.15
1987-09-01,460.38
1987-10-01,465.35
1987-11-01,467.57
1987-12-01,486.24
1988-01-01,476.58
1988-02-01,442.07
1988-03-01,443.61
1988-04-01,451.55
1988-05-01,451.07
1988-06-01,451.33
1988-07-01,437.63
1988-08-01,431.28
1988-09-01,413.46
1988-10-01,406.78
1988-11-01,420.17
1988-12-01,419.05
1989-01-01,404.01
1989-02-01,387.51
1989-03-01,390.15
1989-04-01,384.4
1989-05-01,371.05
1989-06-01,367.6
1989-07-01,375.04
1989-08-01,365.14
1989-09-01,361.75
1989-10-01,366.88
1989-11-01,394.26
1989-12-01,409.39
1990-01-01,410.11
1990-02-01,416.81
1990-03-01,393.06
1990-04-01,374.24
1990-05-01,369.05
1990-06-01,352.33
1990-07-01,362.53
1990-08-01,394.73
1990-09-01,389.32
1990-10-01,380.74
1990-11-01,381.73
1990-12-01,376.95
1991-01-01,383.64
1991-02-01,363.83
1991-03-01,363.34
1991-04-01,358.38
1991-05-01,356.95
1991-06-01,366.72
1991-07-01,367.69
1991-08-01,356.31
1991-09-01,348.74
1991-10-01,358.69
1991-11-01,360.17
1991-12-01,361.73
1992-01-01,354.45
1992-02-01,353.91
1992-03-01,344.34
1992-04-01,338.62
1992-05-01,337.24
1992-06-01,340.81
1992-07-01,352.72
1992-08-01,343.06
1992-09-01,345.43
1992-10-01,344.38
1992-11-01,335.02
1992-12-01,334.82
1993-01-01,329.01
1993-02-01,329.31
1993-03-01,330.08
1993-04-01,342.15
1993-05-01,367.18
1993-06-01,371.89
1993-07-01,392.19
1993-08-01,378.84
1993-09-01,355.28
1993-10-01,364.18
1993-11-01,373.83
1993-12-01,383.3
1994-01-01,386.88
1994-02-01,381.91
1994-03-01,384.13
1994-04-01,377.27
1994-05-01,381.43
1994-06-01,385.64
1994-07-01,385.49
1994-08-01,380.36
1994-09-01,391.58
1994-10-01,389.77
1994-11-01,384.39
1994-12-01,379.29
1995-01-01,378.55
1995-02-01,376.64
1995-03-01,382.12
1995-04-01,391.03
1995-05-01,385.22
1995-06-01,387.56
1995-07-01,386.23
1995-08-01,383.67
1995-09-01,383.06
1995-10-01,383.14
1995-11-01,385.31
1995-12-01,387.44
1996-01-01,399.45
1996-02-01,404.76
1996-03-01,396.21
1996-04-01,392.85
1996-05-01,391.93
1996-06-01,385.27
1996-07-01,383.47
1996-08-01,387.35
1996-09-01,383.14
1996-10-01,381.07
1996-11-01,377.85
1996-12-01,369
1997-01-01,355.11
1997-02-01,346.58
1997-03-01,351.81
1997-04-01,344.47
1997-05-01,343.84
1997-06-01,340.76
1997-07-01,324.1
1997-08-01,324.01
1997-09-01,322.82
1997-10-01,324.87
1997-11-01,306.04
1997-12-01,288.74
1998-01-01,289.1
1998-02-01,297.49
1998-03-01,295.94
1998-04-01,308.29
1998-05-01,299.1
1998-06-01,292.32
1998-07-01,292.87
1998-08-01,284.11
1998-09-01,288.98
1998-10-01,295.93
1998-11-01,294.12
1998-12-01,291.68
1999-01-01,287.08
1999-02-01,287.33
1999-03-01,285.96
1999-04-01,282.62
1999-05-01,276.44
1999-06-01,261.31
1999-07-01,256.08
1999-08-01,256.69
1999-09-01,264.74
1999-10-01,310.72
1999-11-01,293.18
1999-12-01,283.07
2000-01-01,284.32
2000-02-01,299.86
2000-03-01,286.39
2000-04-01,279.69
2000-05-01,275.19
2000-06-01,285.73
2000-07-01,281.59
2000-08-01,274.47
2000-09-01,273.68
2000-10-01,270
2000-11-01,266.01
2000-12-01,271.45
2001-01-01,265.49
2001-02-01,261.87
2001-03-01,263.03
2001-04-01,260.48
2001-05-01,272.36
2001-06-01,270.23
2001-07-01,267.53
2001-08-01,272.39
2001-09-01,283.42
2001-10-01,283.06
2001-11-01,276.16
2001-12-01,275.85
2002-01-01,281.51
2002-02-01,295.5
2002-03-01,294.06
2002-04-01,302.68
2002-05-01,314.49
2002-06-01,321.18
2002-07-01,313.29
2002-08-01,310.26
2002-09-01,319.14
2002-10-01,316.56
2002-11-01,319.07
2002-12-01,331.92
2003-01-01,356.859
2003-02-01,358.97
2003-03-01,340.55
2003-04-01,328.18
2003-05-01,355.683
2003-06-01,356.352
2003-07-01,351.02
2003-08-01,359.768
2003-09-01,378.945
2003-10-01,378.92
2003-11-01,389.91
2003-12-01,406.953
2004-01-01,413.788
2004-02-01,404.878
2004-03-01,406.667
2004-04-01,403.26
2004-05-01,383.779
2004-06-01,392.373
2004-07-01,398.091
2004-08-01,400.51
2004-09-01,405.275
2004-10-01,420.464
2004-11-01,439.375
2004-12-01,442.079
2005-01-01,424.03
2005-02-01,423.35
2005-03-01,433.85
2005-04-01,429.233
2005-05-01,421.873
2005-06-01,430.657
2005-07-01,424.479
2005-08-01,437.93
2005-09-01,456.048
2005-10-01,469.898
2005-11-01,476.666
2005-12-01,510.097
2006-01-01,549.864
2006-02-01,554.995
2006-03-01,557.093
2006-04-01,610.653
2006-05-01,675.393
2006-06-01,596.145
2006-07-01,633.71
2006-08-01,632.593
2006-09-01,598.186
2006-10-01,585.78
