Date,pe_ratio
1913-04-01,12.989507906014481
1913-05-01,12.745974955277283
1913-06-01,12.210526315789473
1913-07-01,12.484830097087379
1913-08-01,12.934333384356345
1913-09-01,13.173745173745173
1913-10-01,12.872058594358734
1913-11-01,12.661214218307645
1913-12-01,12.761904761904761
1914-01-01,13.482603092783503
1914-02-01,13.863004740886055
1914-03-01,13.809128630705393
1914-04-01,13.686162143940669
1914-05-01,13.984936665525504
1914-06-01,14.139130434782611
1914-07-01,13.573700954400849
1914-08-01,13.795581102927969
1914-09-01,14.027397260273972
1914-10-01,14.267137284042356
1914-11-01,14.512471655328797
1914-12-01,14.134615384615383
1915-01-01,13.6
1915-02-01,12.724137931034484
1915-03-01,12.40983606557377
1915-04-01,12.71875
1915-05-01,11.865671641791044
1915-06-01,11.485714285714286
1915-07-01,10.972602739726028
1915-08-01,10.986842105263158
1915-09-01,10.962025316455696
1915-10-01,11.146341463414636
1915-11-01,11.129411764705884
1915-12-01,10.772727272727273
1916-01-01,9.987154784842646
1916-02-01,9.308914297278154
1916-03-01,8.800383877159309
1916-04-01,8.268003646308113
1916-05-01,8.053866203301476
1916-06-01,7.767634854771783
1916-07-01,7.3312152501985715
1916-08-01,7.083015993907084
1916-09-01,7.076023391812865
1916-10-01,7.018284106891702
1916-11-01,6.917344173441735
1916-12-01,6.405228758169935
1917-01-01,6.341948310139165
1917-02-01,6.068548387096774
1917-03-01,6.3419618528610355
1917-04-01,6.337249481686247
1917-05-01,6.213183730715287
1917-06-01,6.434163701067615
1917-07-01,6.351156069364162
1917-08-01,6.258253851797505
1917-09-01,6.046165301563663
1917-10-01,5.809379727685325
1917-11-01,5.411222136817833
1917-12-01,5.3125
1918-01-01,5.740445859872612
1918-02-01,6.0308441558441555
1918-03-01,6.026490066225166
1918-04-01,6.094674556213017
1918-05-01,6.41932700603969
1918-06-01,6.563876651982379
1918-07-01,6.75967596759676
1918-08-01,6.973321067157314
1918-09-01,7.0931326434619
1918-10-01,7.572254335260116
1918-11-01,7.948717948717949
1918-12-01,7.97979797979798
1919-01-01,7.969543147208122
1919-02-01,8.040816326530612
1919-03-01,8.328205128205127
1919-04-01,8.649484536082475
1919-05-01,9.295336787564768
1919-06-01,9.593750000000002
1919-07-01,9.958115183246074
1919-08-01,9.336842105263157
1919-09-01,9.534391534391535
1919-10-01,10.074468085106384
1919-11-01,9.828877005347593
1919-12-01,9.591397849462364
1920-01-01,9.606179286335944
1920-02-01,8.91775844985137
1920-03-01,9.66016713091922
1920-04-01,9.698883500620276
1920-05-01,9.203014386846313
1920-06-01,9.15606936416185
1920-07-01,9.260126434090378
1920-08-01,9.012213921498873
1920-09-01,9.453453453453454
1920-10-01,9.589874650115615
1920-11-01,9.22545633941786
1920-12-01,8.5125
1921-01-01,9.386138613861387
1921-02-01,9.874125874125873
1921-03-01,10.230483271375464
1921-04-01,10.968253968253968
1921-05-01,12.119148936170212
1921-06-01,12.01834862385321
1921-07-01,12.995024875621892
1921-08-01,14.021739130434783
1921-09-01,15.83233532934132
1921-10-01,17.866666666666667
1921-11-01,21.233082706766915
1921-12-01,25.20689655172414
1922-01-01,22.57964738632849
1922-02-01,20.913933277263805
1922-03-01,19.846153846153847
1922-04-01,19.395227970706358
1922-05-01,18.677468797897962
1922-06-01,17.24489795918367
1922-07-01,16.26218230460539
1922-08-01,15.86132566912161
1922-09-01,15.355932203389832
1922-10-01,14.856409433659554
1922-11-01,13.400335008375212
1922-12-01,12.72463768115942
1923-01-01,12.461495379445536
1923-02-01,12.569416226466206
1923-03-01,12.3672131147541
1923-04-01,11.567306470064828
1923-05-01,10.693142575234337
1923-06-01,9.988023952095809
1923-07-01,9.380819366852887
1923-08-01,9.170157364428846
1923-09-01,8.980716253443527
1923-10-01,8.618654073199528
1923-11-01,8.652437748482946
